orig_node	entity_uri
Eubacterium cylindroides	NCBITaxon:39483
Bergeriella	NCBITaxon:334108
Coprobacillus	NCBITaxon:100883
Corynebacterium propinquum	NCBITaxon:43769
Moraxella nonliquefaciens	NCBITaxon:478
Porphyromonas endodontalis	NCBITaxon:28124
Actinomyces oris	NCBITaxon:544580
Corynebacterium durum	NCBITaxon:61592
Sphingomonadaceae	NCBITaxon:41297
Nitrosomonadaceae	NCBITaxon:206379
Oxalobacteraceae	NCBITaxon:75682
Gemmiger	NCBITaxon:204475
Alphaproteobacteria	NCBITaxon:28211
Rhizobiales	NCBITaxon:356
Phyllobacterium	NCBITaxon:28100
Verrucomicrobia	NCBITaxon:74201
Rothia dentocariosa	NCBITaxon:2047
Actinomyces graevenitzii	NCBITaxon:55565
Veillonella sp. oral taxon 780	NCBITaxon:671229
Leptotrichia sp. oral clone FP036	NCBITaxon:175642
Enterorhabdus	NCBITaxon:580024
Gordonibacter	NCBITaxon:644652
Butyricicoccus pullicaecorum	NCBITaxon:501571
Varibaculum	NCBITaxon:184869
Clostridium coccoides group	NCBITaxon:not_found
Clostridium leptum subgroup	NCBITaxon:not_found
Bacteroides fragilis group	NCBITaxon:not_found
Eubacterium saphenum	NCBITaxon:51123
Mogibacterium timidum	NCBITaxon:35519
Treponema parvum	NCBITaxon:138851
Lactobacilli	NCBITaxon:1578
Lautropia mirabilis	NCBITaxon:47671
tannerella forsythia	NCBITaxon:28112
Burkholderia cepacia	NCBITaxon:292
Actinomyces gerencseriae	NCBITaxon:52769
Actinomyces odontolyticus	NCBITaxon:1660
Johnsonella	NCBITaxon:43994
Pseudoramibacter alactolyticus	NCBITaxon:113287
Selenomonas sputigena	NCBITaxon:69823
Mycoplasma faucium	NCBITaxon:56142
Eubacterium minutum	NCBITaxon:76124
Treponema lecithinolyticum	NCBITaxon:53418
Eubacterium brachy	NCBITaxon:35517
Dehalobacterium	NCBITaxon:51514
Moraxellaceae	NCBITaxon:468
Yersinia	NCBITaxon:629
Aminobacterium	NCBITaxon:81466
Acidobacteriaceae	NCBITaxon:204434
